indic_ur,cities\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 
EC2021V,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	300745 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,AT001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	70660 d	: 	: 	: 	: 	: 	: 	90484 	: 	: 	: 	: 	87071 	: 	: 	: 	: 	: 
EC2021V,AT002C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	10647 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,AT003C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	6896 d	: 	: 	: 	: 	: 	: 	10932 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,AT004C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	7622 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,AT005C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	5766 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,BE	: 	905903 e	869662 e	: 	: 	: 	797776 	: 	: 	755654 	: 	: 	: 	697817 	: 	: 	: 	689453 	692139 	555795 	557257 	: 	: 	: 	: 	: 	: 
EC2021V,BE001C1	: 	101131 e	97173 e	: 	: 	: 	84877 	: 	: 	80800 	: 	: 	: 	74208 	: 	: 	73706 	: 	: 	: 	: 	77442 	: 	: 	: 	: 	: 
EC2021V,BE002C1	: 	40241 e	38378 e	: 	: 	: 	34720 	: 	: 	33324 	: 	: 	: 	31798 	: 	: 	31581 	: 	: 	: 	: 	32578 	: 	: 	: 	: 	31483 
EC2021V,BE003C1	: 	22781 e	21561 e	: 	: 	: 	18989 	: 	: 	18136 	: 	: 	: 	16519 	: 	: 	15858 	: 	: 	: 	: 	15662 	: 	: 	: 	: 	14514 
EC2021V,BE004C1	: 	9130 e	9026 e	: 	: 	: 	8996 	: 	: 	9198 	: 	: 	: 	9100 	: 	: 	9560 	: 	: 	: 	: 	10958 	: 	: 	: 	: 	11383 
EC2021V,BE005C1	: 	20002 e	19599 e	: 	: 	: 	18442 	: 	: 	17934 	: 	: 	: 	17057 	: 	: 	10125 	: 	: 	: 	: 	11515 	: 	: 	: 	: 	12332 
EC2021V,BE006C1	: 	10720 e	10193 e	: 	: 	: 	9357 	: 	: 	8940 	: 	: 	: 	8582 	: 	: 	8197 	: 	: 	: 	: 	8020 	: 	: 	: 	: 	7583 
EC2021V,BE007C1	: 	7356 e	7021 e	: 	: 	: 	6430 	: 	: 	6330 	: 	: 	: 	5989 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,BE008C1	: 	7833 e	7472 e	: 	: 	: 	6521 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,BE009C1	: 	5211 e	5040 e	: 	: 	: 	4752 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,BE010C1	: 	7454 e	7247 e	: 	: 	: 	6650 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,BE011C1	: 	4867 e	4623 e	: 	: 	: 	4448 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,BG	: 	: 	: 	: 	: 	390008 	383282 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,BG001C1	: 	: 	: 	: 	: 	: 	105017 	: 	: 	: 	: 	: 	: 	3724 	: 	: 	43794 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,BG002C1	: 	: 	: 	: 	: 	: 	24031 	: 	: 	20884 	: 	: 	: 	1175 	: 	: 	14399 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,BG003C1	: 	: 	: 	: 	: 	: 	27607 	: 	: 	26177 	: 	: 	: 	1949 	: 	: 	14062 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
